07591;58;Longitude;Latitude
07314;80;46.046833;-1.4115
07005;78;50.136;1.834
78897;91;16.264;-61.516333
07027;48;49.18;-0.456167
78897;69;16.264;-61.516333
07139;61;48.4455;0.110167
07661;72;43.079333;5.940833
61968;79;-11.582667;47.289667
81405;91;4.822333;-52.365333
07510;57;44.830667;-0.691333
07577;48;44.581167;4.733
61968;81;-11.582667;47.289667
07650;71;43.437667;5.216
07558;71;44.1185;3.0195
07591;45;44.565667;6.502333
07627;81;43.005333;1.106833
61976;58;-15.887667;54.520667
07037;76;49.383;1.181667
07481;71;45.7265;5.077833
89642;56;-66.663167;140.001
07621;87;43.188;0.0
07037;91;49.383;1.181667
07591;80;44.565667;6.502333
07747;95;42.737167;2.872833
78925;97;14.595333;-60.995667
07280;98;47.267833;5.088333
07481;79;45.7265;5.077833
07110;98;48.444167;-4.412
07149;88;48.716833;2.384333
07168;83;48.324667;4.02
07577;85;44.581167;4.733
07240;85;47.4445;0.727333
78922;73;14.7745;-60.875333
07299;85;47.614333;7.51
07005;84;50.136;1.834
07015;90;50.57;3.0975
78925;84;14.595333;-60.995667
78922;70;14.7745;-60.875333
07168;67;48.324667;4.02
61968;78;-11.582667;47.289667
78897;59;16.264;-61.516333
07037;88;49.383;1.181667
07110;79;48.444167;-4.412
07460;71;45.786833;3.149333
07690;75;43.648833;7.209
67005;93;-12.8055;45.282833
07181;94;48.581;5.959833
71805;94;46.766333;-56.179167
07255;78;47.059167;2.359833
07110;56;48.444167;-4.412
07690;57;43.648833;7.209
78925;63;14.595333;-60.995667
78897;53;16.264;-61.516333
07020;84;49.725167;-1.939833
07650;57;43.437667;5.216
07027;97;49.18;-0.456167
07139;94;48.4455;0.110167
07630;80;43.621;1.378833
07027;73;49.18;-0.456167
07190;73;48.5495;7.640333
07207;73;47.294333;-3.218333
61998;50;-49.352333;70.243333
07314;82;46.046833;-1.4115
61996;84;-37.795167;77.569167
07168;87;48.324667;4.02
07240;94;47.4445;0.727333
07299;56;47.614333;7.51
07747;42;42.737167;2.872833
71805;70;46.766333;-56.179167
07168;100;48.324667;4.02
07591;44;44.565667;6.502333
07627;54;43.005333;1.106833
07005;88;50.136;1.834
07690;83;43.648833;7.209
07027;89;49.18;-0.456167
07280;52;47.267833;5.088333
07747;88;42.737167;2.872833
89642;46;-66.663167;140.001
07510;96;44.830667;-0.691333
07630;90;43.621;1.378833
07650;90;43.437667;5.216
61998;84;-49.352333;70.243333
67005;88;-12.8055;45.282833
07110;94;48.444167;-4.412
07005;88;50.136;1.834
07130;97;48.068833;-1.734
07020;74;49.725167;-1.939833
07110;72;48.444167;-4.412
07577;58;44.581167;4.733
07627;64;43.005333;1.106833
61998;79;-49.352333;70.243333
07139;80;48.4455;0.110167
07149;79;48.716833;2.384333
07181;97;48.581;5.959833
07434;94;45.861167;1.175
61996;87;-37.795167;77.569167
07181;82;48.581;5.959833
07168;57;48.324667;4.02
07335;65;46.593833;0.314333
07510;57;44.830667;-0.691333
07130;50;48.068833;-1.734
07149;50;48.716833;2.384333
07558;42;44.1185;3.0195
07661;61;43.079333;5.940833
07481;67;45.7265;5.077833
07299;83;47.614333;7.51
07335;79;46.593833;0.314333
07643;30;43.577;3.963167
07690;74;43.648833;7.209
07020;83;49.725167;-1.939833
07240;93;47.4445;0.727333
07460;80;45.786833;3.149333
07577;93;44.581167;4.733
07168;97;48.324667;4.02
07299;96;47.614333;7.51
07072;95;49.209667;4.155333
07280;98;47.267833;5.088333
07314;66;46.046833;-1.4115
07535;49;44.745;1.396667
07630;67;43.621;1.378833
07005;87;50.136;1.834
07650;63;43.437667;5.216
61996;90;-37.795167;77.569167
78922;71;14.7745;-60.875333
07240;70;47.4445;0.727333
07335;72;46.593833;0.314333
61976;71;-15.887667;54.520667
07181;94;48.581;5.959833
07558;79;44.1185;3.0195
07650;64;43.437667;5.216
07130;89;48.068833;-1.734
07149;71;48.716833;2.384333
07207;77;47.294333;-3.218333
07661;79;43.079333;5.940833
07577;88;44.581167;4.733
78897;82;16.264;-61.516333
07015;85;50.57;3.0975
07037;82;49.383;1.181667
07747;89;42.737167;2.872833
81401;93;5.4855;-54.031667
07139;80;48.4455;0.110167
07190;95;48.5495;7.640333
07591;96;44.565667;6.502333
07190;77;48.5495;7.640333
07558;81;44.1185;3.0195
61972;77;-22.344167;40.340667
71805;99;46.766333;-56.179167
78925;91;14.595333;-60.995667
07280;57;47.267833;5.088333
07434;72;45.861167;1.175
07181;69;48.581;5.959833
61970;75;-17.054667;42.712
07460;80;45.786833;3.149333
07621;89;43.188;0.0
07630;77;43.621;1.378833
07072;78;49.209667;4.155333
89642;29;-66.663167;140.001
07510;93;44.830667;-0.691333
07577;90;44.581167;4.733
07661;50;43.079333;5.940833
07190;71;48.5495;7.640333
81405;94;4.822333;-52.365333
07747;93;42.737167;2.872833
61970;78;-17.054667;42.712
61980;73;-20.8925;55.528667
61998;70;-49.352333;70.243333
78897;87;16.264;-61.516333
61970;63;-17.054667;42.712
81405;94;4.822333;-52.365333
07020;79;49.725167;-1.939833
07280;67;47.267833;5.088333
71805;74;46.766333;-56.179167
78922;63;14.7745;-60.875333
07255;86;47.059167;2.359833
07471;75;45.0745;3.764
07481;66;45.7265;5.077833
07650;75;43.437667;5.216
61996;84;-37.795167;77.569167
78897;66;16.264;-61.516333
81405;56;4.822333;-52.365333
67005;80;-12.8055;45.282833
78925;75;14.595333;-60.995667
07222;82;47.15;-1.608833
07510;91;44.830667;-0.691333
07591;90;44.565667;6.502333
07621;97;43.188;0.0
07607;55;43.909833;-0.500167
07335;60;46.593833;0.314333
07434;49;45.861167;1.175
07510;44;44.830667;-0.691333
81415;64;3.640167;-54.028333
07690;72;43.648833;7.209
07460;90;45.786833;3.149333
07005;90;50.136;1.834
07621;93;43.188;0.0
07117;92;48.825833;-3.473167
61968;72;-11.582667;47.289667
78897;95;16.264;-61.516333
78897;91;16.264;-61.516333
07434;67;45.861167;1.175
89642;37;-66.663167;140.001
07607;53;43.909833;-0.500167
07621;38;43.188;0.0
07643;74;43.577;3.963167
07037;98;49.383;1.181667
07280;91;47.267833;5.088333
07314;94;46.046833;-1.4115
07510;85;44.830667;-0.691333
07015;97;50.57;3.0975
07621;76;43.188;0.0
81415;90;3.640167;-54.028333
07181;94;48.581;5.959833
07139;89;48.4455;0.110167
07790;78;42.540667;9.485167
07481;70;45.7265;5.077833
07690;34;43.648833;7.209
07005;75;50.136;1.834
07607;82;43.909833;-0.500167
07747;47;42.737167;2.872833
07535;94;44.745;1.396667
07314;74;46.046833;-1.4115
07037;96;49.383;1.181667
07110;76;48.444167;-4.412
78897;89;16.264;-61.516333
81408;99;3.890667;-51.804667
07510;100;44.830667;-0.691333
61976;64;-15.887667;54.520667
07650;80;43.437667;5.216
07139;99;48.4455;0.110167
07471;60;45.0745;3.764
07627;84;43.005333;1.106833
07761;88;41.918;8.792667
67005;84;-12.8055;45.282833
81408;97;3.890667;-51.804667
07299;89;47.614333;7.51
07434;74;45.861167;1.175
07510;94;44.830667;-0.691333
07207;87;47.294333;-3.218333
07577;89;44.581167;4.733
07314;90;46.046833;-1.4115
07460;68;45.786833;3.149333
61976;55;-15.887667;54.520667
78922;75;14.7745;-60.875333
89642;66;-66.663167;140.001
07181;71;48.581;5.959833
07222;68;47.15;-1.608833
07790;49;42.540667;9.485167
07015;76;50.57;3.0975
07130;76;48.068833;-1.734
61996;96;-37.795167;77.569167
07110;87;48.444167;-4.412
07643;79;43.577;3.963167
07110;89;48.444167;-4.412
07139;99;48.4455;0.110167
07149;91;48.716833;2.384333
07643;86;43.577;3.963167
61972;77;-22.344167;40.340667
07168;97;48.324667;4.02
89642;66;-66.663167;140.001
07020;70;49.725167;-1.939833
07299;85;47.614333;7.51
07535;91;44.745;1.396667
61968;75;-11.582667;47.289667
61972;71;-22.344167;40.340667
07149;86;48.716833;2.384333
07222;92;47.15;-1.608833
07650;80;43.437667;5.216
07117;67;48.825833;-3.473167
07149;94;48.716833;2.384333
07314;82;46.046833;-1.4115
07460;85;45.786833;3.149333
07558;99;44.1185;3.0195
61980;78;-20.8925;55.528667
61997;99;-46.4325;51.856667
71805;95;46.766333;-56.179167
07761;72;41.918;8.792667
07627;88;43.005333;1.106833
81401;96;5.4855;-54.031667
07005;75;50.136;1.834
07181;91;48.581;5.959833
07190;75;48.5495;7.640333
07558;76;44.1185;3.0195
07335;66;46.593833;0.314333
07591;19;44.565667;6.502333
61997;76;-46.4325;51.856667
78897;84;16.264;-61.516333
07117;78;48.825833;-3.473167
07747;75;42.737167;2.872833
61972;67;-22.344167;40.340667
07577;63;44.581167;4.733
81415;94;3.640167;-54.028333
07005;95;50.136;1.834
07190;99;48.5495;7.640333
07280;95;47.267833;5.088333
07558;63;44.1185;3.0195
07621;68;43.188;0.0
07790;68;42.540667;9.485167
07037;97;49.383;1.181667
07130;90;48.068833;-1.734
07661;69;43.079333;5.940833
07790;37;42.540667;9.485167
61968;57;-11.582667;47.289667
81415;85;3.640167;-54.028333
07117;79;48.825833;-3.473167
07190;96;48.5495;7.640333
07072;82;49.209667;4.155333
07627;88;43.005333;1.106833
07110;97;48.444167;-4.412
07168;79;48.324667;4.02
07299;71;47.614333;7.51
07020;74;49.725167;-1.939833
07110;93;48.444167;-4.412
07535;100;44.745;1.396667
61980;68;-20.8925;55.528667
07558;71;44.1185;3.0195
61968;63;-11.582667;47.289667
78922;78;14.7745;-60.875333
07460;95;45.786833;3.149333
07690;54;43.648833;7.209
07015;82;50.57;3.0975
07577;52;44.581167;4.733
67005;68;-12.8055;45.282833
07149;78;48.716833;2.384333
07627;61;43.005333;1.106833
78922;64;14.7745;-60.875333
07621;94;43.188;0.0
61998;80;-49.352333;70.243333
61980;74;-20.8925;55.528667
07037;89;49.383;1.181667
07314;83;46.046833;-1.4115
61997;74;-46.4325;51.856667
07168;81;48.324667;4.02
07627;93;43.005333;1.106833
07471;76;45.0745;3.764
07643;67;43.577;3.963167
07027;79;49.18;-0.456167
07072;75;49.209667;4.155333
67005;82;-12.8055;45.282833
78925;72;14.595333;-60.995667
07037;91;49.383;1.181667
07168;84;48.324667;4.02
07255;94;47.059167;2.359833
89642;82;-66.663167;140.001
07222;95;47.15;-1.608833
07015;93;50.57;3.0975
07020;77;49.725167;-1.939833
07149;85;48.716833;2.384333
07747;79;42.737167;2.872833
61980;70;-20.8925;55.528667
07149;63;48.716833;2.384333
78897;85;16.264;-61.516333
07027;92;49.18;-0.456167
07335;94;46.593833;0.314333
07181;98;48.581;5.959833
61968;67;-11.582667;47.289667
61980;91;-20.8925;55.528667
71805;65;46.766333;-56.179167
07015;60;50.57;3.0975
07643;33;43.577;3.963167
89642;37;-66.663167;140.001
78897;70;16.264;-61.516333
07577;53;44.581167;4.733
07621;86;43.188;0.0
61976;84;-15.887667;54.520667
07005;87;50.136;1.834
61970;88;-17.054667;42.712
67005;79;-12.8055;45.282833
07255;97;47.059167;2.359833
81415;87;3.640167;-54.028333
61972;92;-22.344167;40.340667
07037;92;49.383;1.181667
61996;79;-37.795167;77.569167
